money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometres,currency
2489900,Fiat,Qubo,2014,Rojo,Nafta/GNC,5.0,Manual,1.4,Monovolumen,118000,pesos
6700000,Audi,Q5,2013,Blanco,Nafta,5.0,Automática,2.0,SUV,153000,pesos
3890000,Chevrolet,Cruze,2014,Gris,Nafta,4.0,Automática,1.8,Sedán,31000,pesos
5780000,Baic,X55,2019,Negro,Nafta,5.0,Manual,1.5,SUV,38800,pesos
4400000,Toyota,Corolla,2016,Blanco,Nafta,4.0,Manual,1.8,Sedán,75000,pesos
52900,Toyota,Hilux,2022,Blanco,Diésel,4.0,Automática,TOYOTA 2.8,Pick-Up,1000,dólares
2158000,Chevrolet,Classic,2014,Plateado,Nafta/GNC,4.0,Manual,1.4,Sedán,63000,pesos
2200000,Renault,Kangoo,2013,Plateado,Nafta,3.0,Manual,1.6,Furgón,88000,pesos
2189900,Citroën,C4,2014,Blanco,Nafta,5.0,Manual,1.6,Hatchback,79000,pesos
3689900,Volkswagen,Polo,2017,Dorado,Nafta,4.0,Automática,1.6,Hatchback,45000,pesos
17500,Mercedes-Benz,Clase A,2013,Negro,Nafta,5.0,Manual,1.6,Hatchback,115000,dólares
3689900,Volkswagen,Polo,2017,Dorado,Nafta,5.0,Automática,1.6,Hatchback,45000,pesos
4690000,Volkswagen,Vento,2016,Negro,Nafta/GNC,4.0,Automática,2.5,Sedán,172000,pesos
8990000,Dodge,Journey,2018,Negro,Nafta,5.0,Manual,3.6,SUV,59900,pesos
4890000,Chevrolet,Tracker,2017,Gris,Nafta,5.0,Automática,1.8,SUV,41000,pesos
3200000,Peugeot,Partner Patagónica,2015,Blanco,Nafta,4.0,Manual,1.6,Monovolumen,91000,pesos
2500000,Fiat,500,2012,Negro,Nafta,3.0,Manual,1.4,Hatchback,79000,pesos
2950000,Fiat,500,2013,Marrón,Nafta,3.0,Manual,1.4,Hatchback,81262,pesos
6290000,Honda,HR-V,2016,Violeta,Nafta,5.0,Automática,1.8,SUV,60000,pesos
3900000,Renault,Sandero Stepway,2020,Blanco,Nafta,5.0,Automática,1.6,Hatchback,62850,pesos
7880000,Hyundai,Santa Fe,2017,Gris,Nafta,5.0,Manual,2.4,SUV,90000,pesos
10900000,Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5.0,Automática,1.4,SUV,48711,pesos
1750000,Ford,Ka,2013,Gris,Nafta,3.0,Manual,1.0,Hatchback,70000,pesos
4250000,Renault,Duster,2017,Blanco,Nafta,5.0,Manual,1.6,SUV,60000,pesos
3520000,Peugeot,Partner,2016,Gris,Diésel,4.0,Manual,1.6,Furgón,74000,pesos
9450000,Volkswagen,Amarok,2019,Azul,Diésel,4.0,Automática,2.0,Pick-Up,69000,pesos
3650000,Citroën,C-Elysée,2019,Azul,Diésel,4.0,Manual,1.6,Sedán,53000,pesos
4779900,Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,SUV,60000,pesos
3490000,Fiat,Argo,2019,Gris,Nafta,5.0,Manual,1.3,Hatchback,18000,pesos
3200000,Nissan,Sentra,2014,Negro,Nafta,4.0,Automática,2.0,Sedán,96000,pesos
3490000,Fiat,Cronos,2019,Blanco,Nafta,4.0,Manual,1.8,Sedán,86000,pesos
2689900,Peugeot,408,2013,Gris,Diésel,4.0,Manual,1.6,Sedán,89000,pesos
3489900,Chevrolet,Spin,2016,Gris,Nafta/GNC,5.0,Manual,1.8,Monovolumen,98000,pesos
5389900,Nissan,Kicks,2018,Plateado,Nafta,5.0,Automática,1.6,Hatchback,59000,pesos
3348000,Citroën,Aircross,2017,Gris,Nafta,5.0,Manual,1.5,Hatchback,61389,pesos
